,Name,Price,Engine(cc),Rating,Image
0, Renault Kwid ,₹ 5.25 - 7.20 lakh,999cc,(7/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Renault-Kwid.jpg&w=350&h=251&q=91&c=1
1, Maruti Suzuki Celerio ,₹ 5.57 - 7.89 lakh,998cc,(7/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Maruti-Suzuki-Celerio-251120211211.jpg&w=350&h=251&q=91&c=1
2, Nissan Magnite ,₹ 5.57 - 11.02 lakh,999cc,(8/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Nissan-Magnite-021220201937.JPG&w=350&h=251&q=91&c=1
3, Renault Triber ,₹ 5.71 - 8.87 lakh,999cc,(8/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/TriberModelImage.jpg&w=350&h=251&q=91&c=1
4, Tata Tiago ,₹ 5.82 - 8.71 lakh,1199cc,(8/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Tata-Tiago-280320221607.jpg&w=350&h=251&q=91&c=1
5, Tata Tigor ,₹ 6.00 - 10.02 lakh,1199cc,(8/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Tata-Tigor-220120201531.jpg&w=350&h=251&q=91&c=1
6, Renault Kiger ,₹ 6.06 - 10.80 lakh,999cc,(8/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Renault-Kiger-040320211942.jpg&w=350&h=251&q=91&c=1
7, Hyundai Grand i10 Nios ,₹ 6.32 - 9.59 lakh,1197cc,(8/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Hyundai-Grand-i10-Nios-200120231541.jpg&w=350&h=251&q=91&c=1
8, Maruti Suzuki Ignis ,₹ 6.47 - 9.23 lakh,1197cc,(7/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Maruti Suzuki-Ignis-180220201708.jpg&w=350&h=251&q=91&c=1
9, Tata Punch ,₹ 6.65 - 11.82 lakh,1199cc,(7/10),https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Tata-Punch-260820211926.jpg&w=350&h=251&q=91&c=1
